   ,Price CPM,Price Code
1  ,$0.01    ,1h0uj28
2  ,$0.02    ,z9kikg
3  ,$0.03    ,1ys4jk0
4  ,$0.04    ,8mnhts
5  ,$0.05    ,1857itc
6  ,$0.06    ,qdxibk
7  ,$0.07    ,1pwhjb4
8  ,$0.08    ,d2gzy8
9  ,$0.09    ,1cl10xs
10 ,$0.10    ,utr0g0
11 ,$0.11    ,1ucb1fk
12 ,$0.12    ,46tzpc
13 ,$0.13    ,13pe0ow
14 ,$0.14    ,ly4074
15 ,$0.15    ,1lgo16o
16 ,$0.16    ,fadr0g
17 ,$0.17    ,1esxs00
18 ,$0.18    ,x1nri8
19 ,$0.19    ,1wk7shs
20 ,$0.20    ,6eqqrk
21 ,$0.21    ,15xarr4
22 ,$0.22    ,o60r9c
23 ,$0.23    ,1noks8w
24 ,$0.24    ,auk8w0
25 ,$0.25    ,1ad49vk
26 ,$0.26    ,slu9ds
27 ,$0.27    ,1s4eadc
28 ,$0.28    ,1yx8n4
29 ,$0.29    ,11hh9mo
30 ,$0.30    ,jq794w
31 ,$0.31    ,1j8ra4g
32 ,$0.32    ,gec4jk
33 ,$0.33    ,1fww5j4
34 ,$0.34    ,y5m51c
35 ,$0.35    ,1xo660w
36 ,$0.36    ,7ip4ao
37 ,$0.37    ,17195a8
38 ,$0.38    ,p9z4sg
39 ,$0.39    ,1osj5s0
40 ,$0.40    ,byimf4
41 ,$0.41    ,1bh2neo
42 ,$0.42    ,tpsmww
43 ,$0.43    ,1t8cnwg
44 ,$0.44    ,32vm68
45 ,$0.45    ,12lfn5s
46 ,$0.46    ,ku5mo0
47 ,$0.47    ,1kcpnnk
48 ,$0.48    ,e6fdhc
49 ,$0.49    ,1dozegw
50 ,$0.50    ,vxpdz4
51 ,$0.51    ,1vg9eyo
52 ,$0.52    ,5asd8g
53 ,$0.53    ,14tce80
54 ,$0.54    ,n22dq8
55 ,$0.55    ,1mkmeps
56 ,$0.56    ,9qlvcw
57 ,$0.57    ,1995wcg
58 ,$0.58    ,rhvvuo
59 ,$0.59    ,1r0fwu8
60 ,$0.60    ,uyv40
61 ,$0.61    ,10diw3k
62 ,$0.62    ,im8vls
63 ,$0.63    ,1i4swlc
64 ,$0.64    ,gybbb4
65 ,$0.65    ,1ggvcao
66 ,$0.66    ,yplbsw
67 ,$0.67    ,1y85csg
68 ,$0.68    ,82ob28
69 ,$0.69    ,17l8c1s
70 ,$0.70    ,ptybk0
71 ,$0.71    ,1pcicjk
72 ,$0.72    ,ciht6o
73 ,$0.73    ,1c11u68
74 ,$0.74    ,u9rtog
75 ,$0.75    ,1tsbuo0
76 ,$0.76    ,3musxs
77 ,$0.77    ,135etxc
78 ,$0.78    ,le4tfk
79 ,$0.79    ,1kwouf4
80 ,$0.80    ,eqek8w
81 ,$0.81    ,1e8yl8g
82 ,$0.82    ,whokqo
83 ,$0.83    ,1w08lq8
84 ,$0.84    ,5urk00
85 ,$0.85    ,15dbkzk
86 ,$0.86    ,nm1khs
87 ,$0.87    ,1n4llhc
88 ,$0.88    ,aal24g
89 ,$0.89    ,19t5340
90 ,$0.90    ,s1v2m8
91 ,$0.91    ,1rkf3ls
92 ,$0.92    ,1ey1vk
93 ,$0.93    ,10xi2v4
94 ,$0.94    ,j682dc
95 ,$0.95    ,1ios3cw
96 ,$0.96    ,fucxs0
97 ,$0.97    ,1fcwyrk
98 ,$0.98    ,xlmy9s
99 ,$0.99    ,1x46z9c
100,$1.00    ,6ypxj4
101,$1.01    ,16h9yio
102,$1.02    ,opzy0w
103,$1.03    ,1o8jz0g
104,$1.04    ,bejfnk
105,$1.05    ,1ax3gn4
106,$1.06    ,t5tg5c
107,$1.07    ,1sodh4w
108,$1.08    ,2iwfeo
109,$1.09    ,121gge8
110,$1.10    ,ka6fwg
111,$1.11    ,1jsqgw0
112,$1.12    ,dmg6ps
113,$1.13    ,1d507pc
114,$1.14    ,vdq77k
115,$1.15    ,1uwa874
116,$1.16    ,4qt6gw
117,$1.17    ,149d7gg
118,$1.18    ,mi36yo
119,$1.19    ,1m0n7y8
120,$1.20    ,96molc
121,$1.21    ,18p6pkw
122,$1.22    ,qxwp34
123,$1.23    ,1qggq2o
124,$1.24    ,azocg
125,$1.25    ,ztjpc0
126,$1.26    ,i29ou8
127,$1.27    ,1hktpts
128,$1.28    ,h8awow
129,$1.29    ,1gquxog
130,$1.30    ,yzkx6o
131,$1.31    ,1yi4y68
132,$1.32    ,8cnwg0
133,$1.33    ,17v7xfk
134,$1.34    ,q3xwxs
135,$1.35    ,1pmhxxc
136,$1.36    ,cshekg
137,$1.37    ,1cb1fk0
138,$1.38    ,ujrf28
139,$1.39    ,1u2bg1s
140,$1.40    ,3wuebk
141,$1.41    ,13fefb4
142,$1.42    ,lo4etc
143,$1.43    ,1l6ofsw
144,$1.44    ,f0e5mo
145,$1.45    ,1eiy6m8
146,$1.46    ,wro64g
147,$1.47    ,1wa8740
148,$1.48    ,64r5ds
149,$1.49    ,15nb6dc
150,$1.50    ,nw15vk
151,$1.51    ,1nel6v4
152,$1.52    ,akkni8
153,$1.53    ,1a34ohs
154,$1.54    ,sbuo00
155,$1.55    ,1rueozk
156,$1.56    ,1oxn9c
157,$1.57    ,117ho8w
158,$1.58    ,jg7nr4
159,$1.59    ,1iyroqo
160,$1.60    ,g4cj5s
161,$1.61    ,1fmwk5c
162,$1.62    ,xvmjnk
163,$1.63    ,1xe6kn4
164,$1.64    ,78piww
165,$1.65    ,16r9jwg
166,$1.66    ,ozzjeo
167,$1.67    ,1oijke8
168,$1.68    ,boj11c
169,$1.69    ,1b7320w
170,$1.70    ,tft1j4
171,$1.71    ,1syd2io
172,$1.72    ,2sw0sg
173,$1.73    ,12bg1s0
174,$1.74    ,kk61a8
175,$1.75    ,1k2q29s
176,$1.76    ,dwfs3k
177,$1.77    ,1dezt34
178,$1.78    ,vnpslc
179,$1.79    ,1v69tkw
180,$1.80    ,50sruo
181,$1.81    ,14jcsu8
182,$1.82    ,ms2scg
183,$1.83    ,1mamtc0
184,$1.84    ,9gm9z4
185,$1.85    ,18z6ayo
186,$1.86    ,r7wagw
187,$1.87    ,1qqgbgg
188,$1.88    ,kz9q8
189,$1.89    ,103japs
190,$1.90    ,ic9a80
191,$1.91    ,1hutb7k
192,$1.92    ,gobpxc
193,$1.93    ,1g6vqww
194,$1.94    ,yflqf4
195,$1.95    ,1xy5reo
196,$1.96    ,7sopog
197,$1.97    ,17b8qo0
198,$1.98    ,pjyq68
199,$1.99    ,1p2ir5s
200,$2.00    ,c8i7sw
201,$2.01    ,1br28sg
202,$2.02    ,tzs8ao
203,$2.03    ,1tic9a8
204,$2.04    ,3cv7k0
205,$2.05    ,12vf8jk
206,$2.06    ,l4581s
207,$2.07    ,1kmp91c
208,$2.08    ,egeyv4
209,$2.09    ,1dyyzuo
210,$2.10    ,w7ozcw
211,$2.11    ,1vq90cg
212,$2.12    ,5krym8
213,$2.13    ,153bzls
214,$2.14    ,nc1z40
215,$2.15    ,1mum03k
216,$2.16    ,a0lgqo
217,$2.17    ,19j5hq8
218,$2.18    ,rrvh8g
219,$2.19    ,1rafi80
220,$2.20    ,14yghs
221,$2.21    ,10nihhc
222,$2.22    ,iw8gzk
223,$2.23    ,1ieshz4
224,$2.24    ,fkdce8
225,$2.25    ,1f2xdds
